Most Serious Crime Committed by Incarcerated Individual,Count
YO-CRIM SEX ACT/SEX ABUSE,2
ATT PREDATORY SEX ASLT,1
ASSAULT 1ST,1
ATT BUS CORRUPTION,1
ATT PERJURY 1ST,1
YO-JO,1
CRIM SALE FIREARM/MINOR,1
BRIBE REC 3RD,1
CRIM IMPERSONATION,1
POS FORGE DEVICE,1
COMPELL PROSTIT,1
ATT MURDER NO DEGREE,1
CRIM TAX FRAUD 3RD,1
ATT PROMO CHILD SEX,1
AGG HARASSMENT 1ST,1
ATT CR SALE FIREARM 3RD,1
YO ATT ASSAULT,1
STALKING 1ST SUBD 2,1
PLACING FALSE BOMB-1ST,1
INTIMIDATE WIT 1ST,1
MFG TRANS WEAP,1
RAPE 1ST (1967-78),1
ATT CR SALE FIREARM 1ST,1
ATT MANFCTURE METH-2ND,1
WLFARE FRAUD 2 C FELONY,1
ATT PRO PROST 3RD,1
ATT ASSAULT 1ST,1
WLFARE FRAUD 4TH DEG,1
FAC SEX PERF CHILD,1
ATT GR LAR 2ND AUTO,1
FACIL SEX OFF/DRUGS,1
ATT FAIL REGIS SEX 2ND,1
CRIM SALE FIREARM-MINOR,1
ATT AG SEX ABU 2ND,1
ATT CR POS CANNABIS 1ST,1
ATT COERCION 1ST,1
AUTO STRIPPING 2ND,1
ATT SODOMY 2ND,1
TAMP WITNESS 3RD,1
USE FIREARMS 2ND,1
ATT INTIMI WIT 2ND,1
ATT TERRORISTIC THREAT,1
ATT AGG VEHICULAR ASSLT,1
AGGR DWI:WITH CHILD-2ND,1
ATT STOLN PROP 2ND,1
INCEST 2ND DEGREE,1
FALSLY REPRT INCIDNT-1ST,1
ATT IDENTITY THEFT 1,1
JO-ROBBERY 1ST,1
CRIM POS MARI 1,1
CP PRECURSOR METH,1
YO POS STOL PROP,1
ATT DRUG PARAPHER 1ST,1
ATT AGG MANSLAUGT 1ST,1
"ATT CR POS WEAP 3 SUB9,10",1
FLEE OFFICER MOTOR VEH 2,1
AGG HARASSMENT 2ND,1
HEALTH CARE FRAUD 2ND,1
PATRO PROSTI 2ND,1
CSCS AT SCHOOL,1
CSCS PRESCRIPTION,1
ATT CSCS 4TH,1
UNAU USE VEHIC 2ND,1
YO ESCAPE RES ARREST,1
SODOMY 3RD,1
UNLAWFUL SURVEILLANCE 1ST,1
CRIM SOLI 2ND,1
STALKING 2ND,1
CORRUPT GOVT 1,1
SODOMY 2ND,1
STALKING 1ST SUBD 1,1
INTIMIDATE WIT 2ND,1
ATT MONEY LAUNDERING 2,1
ATT INTIMI WIT1ST,1
CRIM NUISANCE 1,1
COERCION 2-COMPEL SEX ACT,1
YO ATTEMPTED OFFENSE,1
JO-CRIM POSS WEAP 2 SCH,1
JO-ROBBERY 2ND,1
